status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
75-84	Bladder	III	1.1220250178709836	0.03164232406477072	-3.2632525951743405	0.11275375226352352	0.4295432309896555	0.01853787450590104	0.3911825970216183	0.46382012954824586	0.0032169861065632615	8.870006492811661e-5	0.0029791710101219285	0.0033140077301236854
75-84	Bladder	IV	0.890321575205482	0.01948125179241002	-1.9123302819360752	0.05025311273207721	0.10873751939719895	0.009465529032630489	0.09037519962982475	0.1275680534062325	0.003292582939325199	5.546780265949139e-5	0.0031203161899132636	0.0033315371762721565
40-54	Breast	I	1.742139372236083	0.03623037036143444	-8.919384538826508	0.08898228639833163	0.9286400460766674	0.0075317221838546245	0.9100635289957116	0.9387922836890799	9.603441523499064e-7	2.051800195125673e-6	2.8126070060896546e-8	7.3059697831163935e-6
40-54	Breast	II	1.624999619791205	0.024280632457929652	-7.410754818218626	0.09364520551963401	0.8484149598401742	0.0034618114753101393	0.8415862985035847	0.8551294450365213	2.9895922662242925e-6	5.899408180547468e-6	9.179535225202621e-8	2.116787367485309e-5
40-54	Breast	III	1.4084201771020501	0.023750123804869183	-6.0232262208754905	0.07860004356634588	0.6553575215783276	0.026350613748513014	0.6051297586742207	0.6964805347679033	3.6723857730246005e-4	2.0774622463283818e-4	1.0791378259420995e-6	7.031210364785485e-4
40-54	Breast	IV	0.9169814147739257	0.015167950767599471	-3.42206041439675	0.048257024832549344	0.1299229291062931	0.01854178105720114	0.10144286164941667	0.17694115517301054	6.952468482905004e-4	5.920659492620868e-4	1.5479840995457724e-5	0.0023411569414455036
55-64	Breast	I	1.5544687840251599	0.05459425913167444	-8.264053097929487	0.1726058361429901	0.9120364878814874	0.018795825932936387	0.8594153162493902	0.9331446479980053	1.4266070218988773e-6	4.072621664888146e-6	1.5026532191067332e-8	1.4367942230704468e-5
55-64	Breast	II	1.6160263761113143	0.026737686605556504	-7.4595479900948956	0.10339357024618184	0.8284220155910345	0.004647780720089674	0.8192388405718602	0.8369835846059376	4.320304106482538e-6	9.316723607251945e-6	7.575711982898702e-8	3.386132310040087e-5
55-64	Breast	III	1.3664504717956039	0.02007948232060613	-5.954676344402709	0.08126795423147935	0.5730904556456393	0.01218622582609734	0.556191470181086	0.6061615078232071	2.6520850499343512e-5	8.850614781143067e-5	5.528772769737864e-7	3.3592688975307814e-4
55-64	Breast	IV	0.7770381707078872	0.011592401008693569	-2.843066785846558	0.03859646241941216	0.05194414136488949	0.010596261909468389	0.03348075356421872	0.07512558805398586	1.9698963309940415e-4	5.159405242229057e-4	4.581607654852699e-6	0.0019360975621131487
65-74	Breast	I	1.631631057473573	0.03983302782985766	-8.922205916796404	0.09080280266558155	0.8472027382807878	0.023868126821878537	0.7982437178796213	0.8884127543039256	1.4146728602990834e-5	1.2255340286260707e-5	2.0970258447993896e-7	4.3393516623821904e-5
65-74	Breast	II	1.4551902531009757	0.029536536340263472	-6.940343658183979	0.1038231042500401	0.7784619000870068	0.011523484575268363	0.7524176702124068	0.7981183443494368	2.6875769647313677e-5	2.744013895393083e-5	7.311867513541675e-7	1.0210314229927427e-4
65-74	Breast	III	1.2407743994230076	0.020772378382117675	-5.473537250183968	0.08886280439725813	0.5097821203806305	0.019690535061099676	0.4791354543301502	0.5576363715527309	1.088216406357357e-4	1.6047081986037652e-4	5.595946346694176e-6	5.961140300376308e-4
65-74	Breast	IV	0.6727004578269129	0.010130178691037384	-2.4690855538018264	0.03850156274435359	0.008291546836930664	0.00910053573349706	3.75460271598051e-4	0.033081275847508744	5.646519295006157e-4	8.659015789193203e-4	2.266937680592094e-5	0.00295795177711325
75-84	Breast	I	1.443433754392252	0.055064004477347384	-7.833421047431897	0.21082578999341994	0.7529844591312266	0.03995111694175811	0.6844188563958069	0.8346260477361167	3.365627355663976e-5	5.4976216789562176e-5	2.4682395293340715e-7	1.9854491913774537e-4
75-84	Breast	II	1.2522023430182074	0.033656519250235474	-5.786714339248548	0.09689707527084354	0.6993429048103961	0.033628503068222675	0.6557360273766628	0.7932469761451676	9.883462083810823e-5	1.5529133652353818e-4	1.3429973993959336e-6	5.855069893351335e-4
75-84	Breast	III	1.1151906063838397	0.02182767828524852	-4.59940428789052	0.08736218759045128	0.39911500624306606	0.025412756475368278	0.36171601250429425	0.463161775913725	2.8433311077187974e-4	3.059842245088753e-4	6.719611323311634e-6	0.0011078162187084393
75-84	Breast	IV	0.6377645520180262	0.011598781565745415	-2.0744904975618237	0.03910713073620467	0.02130057276017263	0.01379425825464081	0.0016989258907273224	0.053934918735063925	0.0013168198508207584	9.658136298926846e-4	6.696363718533923e-5	0.0032319190095268686
40-54	Breast_HR_negative	I	1.9736032782467559	0.034201723881622244	-7.951768904188947	0.1515708640522411	0.9428344714431377	0.00508226379797016	0.9322615510691731	0.9521588935866684	1.520252679897307e-4	3.320241936733878e-5	8.854366994870632e-5	2.2148022110814595e-4
40-54	Breast_HR_negative	II	1.89058581598456	0.045866362402218336	-7.233114608106515	0.16452645422830176	0.8445458340591975	0.0062675675360059704	0.8315290618792273	0.85594404145518	2.873639963208809e-4	4.77939992545544e-5	1.9080486029280196e-4	3.7696347858209655e-4
40-54	Breast_HR_negative	III	1.6585270077713736	0.028652744668596873	-5.9071377067922555	0.10841640076837522	0.5901795817405535	0.009174928441185028	0.572830812704281	0.608445792666359	5.315917009126944e-4	8.701382190911908e-5	3.7315385537499554e-4	7.136841242787979e-4
40-54	Breast_HR_negative	IV	1.1749209555686835	0.023418902927553237	-3.381918905619879	0.08584194589046082	0.24685528727200934	0.014020080302767699	0.2192862451174981	0.27482367183992196	0.003209484469660292	1.5614816900962088e-4	0.0027664238556835406	0.0033279264462444096
55-64	Breast_HR_negative	I	1.9430769242847927	0.059898362287956246	-7.8496835162256655	0.23571909551278136	0.939971000329257	0.005519306786062795	0.928333049941773	0.9499543889770357	1.2270923596591115e-4	3.563302553867663e-5	5.4791458171921915e-5	1.9541271801557962e-4
55-64	Breast_HR_negative	II	1.7764078700336146	0.03970890634753747	-6.745514681869241	0.16098041463442359	0.84476678806805094	0.006641000054550868	0.8319132378106779	0.8576948546224807	3.6523347676722375e-4	5.3127724211344785e-5	2.6519926114928675e-4	4.7493530059977083e-4
55-64	Breast_HR_negative	III	1.5482595004315527	0.03079233864015835	-5.512647169099928	0.1211530469334032	0.5906494132984355	0.012063360982293608	0.5675288818450958	0.6147417582979652	7.658645454874701e-4	1.2297509273627216e-4	5.38098472054379e-4	0.0010224608468431314
55-64	Breast_HR_negative	IV	1.0304372530552977	0.022200834609122245	-2.809202981329234	0.07698313913167196	0.19856776074589882	0.013184557355893285	0.17408938208407695	0.22540876565833834	0.003189533638964866	1.8612275717739293e-4	0.0026607983617814	0.003328788608997199
65-74	Breast_HR_negative	I	1.8389411886698879	0.10319337067187705	-7.345082408667874	0.4070185438633154	0.949044676665441	0.008580876996361604	0.9301945391413522	0.9624926378137664	3.1304030392686555e-4	6.113971392775544e-5	1.8242389584177766e-4	4.246389489145374e-4
65-74	Breast_HR_negative	II	1.635324836368613	0.04433693712474032	-6.109572762347073	0.17871617390869837	0.817547309422551	0.00957324931275686	0.7987993659956044	0.8362953654306798	4.5002057622024554e-4	7.692296750059835e-5	3.1433364884382044e-4	6.173304413747426e-4
65-74	Breast_HR_negative	III	1.5223381821773185	0.039156213764409226	-5.475671474079183	0.15614054030483177	0.5340304043100892	0.01630275582019106	0.5034181241598219	0.5671188341563548	6.16075075039478e-4	1.5665716433405918e-4	3.94189747672918e-4	9.971728591958667e-4
65-74	Breast_HR_negative	IV	0.925378907770144	0.025622609714158646	-2.3514985696771658	0.08745762393267996	0.16461593650940587	0.01606810143255008	0.1344483912516474	0.19651102509741566	0.0030875145045141618	3.0143309998084537e-4	0.00221415962925796	0.003324578864920724
75-84	Breast_HR_negative	I	1.4889312274883424	0.1766987232157631	-6.463139265758584	0.5692341723954195	0.8887535409906543	0.049093595532268906	0.7962229128204922	0.964891065890523	4.8443183591429775e-4	2.894880015593173e-4	2.123591502150684e-5	0.001026227685533533
75-84	Breast_HR_negative	II	1.4519997089447059	0.0553566618976592	-5.166450090140281	0.2066790191605857	0.7757559966154416	0.018774536563985398	0.7367170177810701	0.8106116437005111	0.001300777971033307	2.0121212959559642e-4	9.059884900451756e-4	0.0016858646273397255
75-84	Breast_HR_negative	III	1.376078988190499	0.046717163463369446	-4.6913858089482385	0.1684537768162262	0.40820506359436637	0.027970921509072984	0.3539964990328666	0.4624848187330811	0.0023597238175733907	4.5037706863214035e-4	0.0014205612957552392	0.0031243336446939766
